2022-11-10 00:35:53 status unpacked php8.1-curl:amd64 8.1.2-1ubuntu2.8
2022-11-10 00:35:53 status half-configured php8.1-curl:amd64 8.1.2-1ubuntu2.8
2022-11-10 00:35:53 status installed php8.1-curl:amd64 8.1.2-1ubuntu2.8
2022-11-10 00:35:53 configure php8.1-xml:amd64 8.1.2-1ubuntu2.8 <none>
2022-11-10 00:35:53 status unpacked php8.1-xml:amd64 8.1.2-1ubuntu2.8
2022-11-10 00:35:53 status half-configured php8.1-xml:amd64 8.1.2-1ubuntu2.8
2022-11-10 00:35:54 status installed php8.1-xml:amd64 8.1.2-1ubuntu2.8
2022-11-10 00:35:54 configure php8.1-mysql:amd64 8.1.2-1ubuntu2.8 <none>
2022-11-10 00:35:54 status unpacked php8.1-mysql:amd64 8.1.2-1ubuntu2.8
2022-11-10 00:35:54 status half-configured php8.1-mysql:amd64 8.1.2-1ubuntu2.8
2022-11-10 00:35:55 status installed php8.1-mysql:amd64 8.1.2-1ubuntu2.8
2022-11-10 00:35:55 configure php8.1-readline:amd64 8.1.2-1ubuntu2.8 <none>
2022-11-10 00:35:55 status unpacked php8.1-readline:amd64 8.1.2-1ubuntu2.8
2022-11-10 00:35:55 status half-configured php8.1-readline:amd64 8.1.2-1ubuntu2.8
2022-11-10 00:35:55 status installed php8.1-readline:amd64 8.1.2-1ubuntu2.8
2022-11-10 00:35:55 configure php8.1-opcache:amd64 8.1.2-1ubuntu2.8 <none>
2022-11-10 00:35:55 status unpacked php8.1-opcache:amd64 8.1.2-1ubuntu2.8
2022-11-10 00:35:55 status half-configured php8.1-opcache:amd64 8.1.2-1ubuntu2.8
2022-11-10 00:35:55 status installed php8.1-opcache:amd64 8.1.2-1ubuntu2.8
2022-11-10 00:35:55 configure php8.1-mbstring:amd64 8.1.2-1ubuntu2.8 <none>
2022-11-10 00:35:55 status unpacked php8.1-mbstring:amd64 8.1.2-1ubuntu2.8
2022-11-10 00:35:55 status half-configured php8.1-mbstring:amd64 8.1.2-1ubuntu2.8
2022-11-10 00:35:55 status installed php8.1-mbstring:amd64 8.1.2-1ubuntu2.8
2022-11-10 00:35:55 configure php8.1-cli:amd64 8.1.2-1ubuntu2.8 <none>
2022-11-10 00:35:55 status unpacked php8.1-cli:amd64 8.1.2-1ubuntu2.8
2022-11-10 00:35:55 status half-configured php8.1-cli:amd64 8.1.2-1ubuntu2.8
2022-11-10 00:35:56 status installed php8.1-cli:amd64 8.1.2-1ubuntu2.8
2022-11-10 00:35:56 status triggers-pending php8.1-cli:amd64 8.1.2-1ubuntu2.8
2022-11-10 00:35:56 configure libapache2-mod-php8.1:amd64 8.1.2-1ubuntu2.8 <none>
2022-11-10 00:35:56 status unpacked libapache2-mod-php8.1:amd64 8.1.2-1ubuntu2.8
2022-11-10 00:35:56 status half-configured libapache2-mod-php8.1:amd64 8.1.2-1ubuntu2.8
2022-11-10 00:35:56 status installed libapache2-mod-php8.1:amd64 8.1.2-1ubuntu2.8
2022-11-10 00:35:56 status triggers-pending libapache2-mod-php8.1:amd64 8.1.2-1ubuntu2.8
2022-11-10 00:35:56 trigproc man-db:amd64 2.10.2-1 <none>
2022-11-10 00:35:56 status half-configured man-db:amd64 2.10.2-1
2022-11-10 00:35:56 status installed man-db:amd64 2.10.2-1
2022-11-10 00:35:56 trigproc php8.1-cli:amd64 8.1.2-1ubuntu2.8 <none>
2022-11-10 00:35:56 status half-configured php8.1-cli:amd64 8.1.2-1ubuntu2.8
2022-11-10 00:35:56 status installed php8.1-cli:amd64 8.1.2-1ubuntu2.8
2022-11-10 00:35:56 trigproc libapache2-mod-php8.1:amd64 8.1.2-1ubuntu2.8 <none>
2022-11-10 00:35:56 status half-configured libapache2-mod-php8.1:amd64 8.1.2-1ubuntu2.8
2022-11-10 00:35:56 status installed libapache2-mod-php8.1:amd64 8.1.2-1ubuntu2.8
2022-11-10 00:35:59 startup archives unpack
2022-11-10 00:35:59 upgrade php8.1:all 8.1.2-1ubuntu2.5 8.1.2-1ubuntu2.8
2022-11-10 00:35:59 status half-configured php8.1:all 8.1.2-1ubuntu2.5
2022-11-10 00:35:59 status unpacked php8.1:all 8.1.2-1ubuntu2.5
2022-11-10 00:35:59 status half-installed php8.1:all 8.1.2-1ubuntu2.5
2022-11-10 00:35:59 status unpacked php8.1:all 8.1.2-1ubuntu2.8
2022-11-10 00:35:59 startup packages configure
2022-11-10 00:35:59 configure php8.1:all 8.1.2-1ubuntu2.8 <none>
2022-11-10 00:35:59 status unpacked php8.1:all 8.1.2-1ubuntu2.8
